"id","long","lat","avg_long","avg_lat"
51,-110.999444445,44.000555555,-111.5000000005,43.4999999995
51,-110.999444445,42.999444444,-111.5000000005,43.4999999995
52,-110.000555556,38.999444445,-109.5000000005,39.5
52,-110.000555556,40.000555555,-109.5000000005,39.5
52,-108.999444445,40.000555555,-109.5000000005,39.5
52,-108.999444445,38.999444445,-109.5000000005,39.5
53,-112.000555555,37.999444444,-111.5,38.4999999995
53,-112.000555555,39.000555555,-111.5,38.4999999995
53,-110.999444445,39.000555555,-111.5,38.4999999995
53,-110.999444445,37.999444444,-111.5,38.4999999995
54,-112.000555555,41.999444445,-111.5,42.5
54,-112.000555555,43.000555555,-111.5,42.5
54,-110.999444445,43.000555555,-111.5,42.5
54,-110.999444445,41.999444445,-111.5,42.5
55,-107.000555555,41.999444445,-106.5,42.5
55,-107.000555555,43.000555555,-106.5,42.5
55,-105.999444445,43.000555555,-106.5,42.5
55,-105.999444445,41.999444445,-106.5,42.5
56,-108.000555555,38.999444445,-107.5,39.5
56,-108.000555555,40.000555555,-107.5,39.5
56,-106.999444445,40.000555555,-107.5,39.5
56,-106.999444445,38.999444445,-107.5,39.5
57,-112.000555555,38.999444445,-111.5,39.5
57,-112.000555555,40.000555555,-111.5,39.5
57,-110.999444445,40.000555555,-111.5,39.5
57,-110.999444445,38.999444445,-111.5,39.5
58,-112.000555555,40.999444445,-111.5,41.5
58,-112.000555555,42.000555555,-111.5,41.5
58,-110.999444445,42.000555555,-111.5,41.5
58,-110.999444445,40.999444445,-111.5,41.5
59,-112.000555555,39.999444445,-111.5,40.5
59,-112.000555555,41.000555555,-111.5,40.5
59,-110.999444445,41.000555555,-111.5,40.5
59,-110.999444445,39.999444445,-111.5,40.5
60,-108.000555555,39.999444445,-107.5,40.5
60,-108.000555555,41.000555555,-107.5,40.5
60,-106.999444445,41.000555555,-107.5,40.5
60,-106.999444445,39.999444445,-107.5,40.5
61,-113.000555555,40.999444445,-112.5,41.5
61,-113.000555555,42.000555555,-112.5,41.5
61,-111.999444445,42.000555555,-112.5,41.5
61,-111.999444445,40.999444445,-112.5,41.5
62,-113.000555555,39.999444445,-112.5,40.5
62,-113.000555555,41.000555555,-112.5,40.5
62,-111.999444445,41.000555555,-112.5,40.5
62,-111.999444445,39.999444445,-112.5,40.5
63,-112.000555556,36.999444444,-111.5000000005,37.4999999995
63,-112.000555556,38.000555555,-111.5000000005,37.4999999995
63,-110.999444445,38.000555555,-111.5000000005,37.4999999995
63,-110.999444445,36.999444444,-111.5000000005,37.4999999995
64,-106.000555556,36.999444444,-105.5000000005,37.4999999995
64,-106.000555556,38.000555555,-105.5000000005,37.4999999995
64,-104.999444445,38.000555555,-105.5000000005,37.4999999995
64,-104.999444445,36.999444444,-105.5000000005,37.4999999995
65,-110.000555556,36.999444444,-109.5000000005,37.4999999995
65,-110.000555556,38.000555555,-109.5000000005,37.4999999995
65,-108.999444445,38.000555555,-109.5000000005,37.4999999995
65,-108.999444445,36.999444444,-109.5000000005,37.4999999995
66,-109.000555555,36.999444445,-108.5,37.5
66,-109.000555555,38.000555555,-108.5,37.5
66,-107.999444445,38.000555555,-108.5,37.5
66,-107.999444445,36.999444445,-108.5,37.5
67,-113.000555555,36.999444445,-112.5,37.5
67,-113.000555555,38.000555555,-112.5,37.5
67,-111.999444445,38.000555555,-112.5,37.5
67,-111.999444445,36.999444445,-112.5,37.5
68,-110.000555556,43.999444444,-109.5000000005,44.4999999995
68,-110.000555556,45.000555555,-109.5000000005,44.4999999995
68,-108.999444445,45.000555555,-109.5000000005,44.4999999995
68,-108.999444445,43.999444444,-109.5000000005,44.4999999995
69,-108.000555556,43.999444444,-107.5000000005,44.4999999995
69,-108.000555556,45.000555555,-107.5000000005,44.4999999995
69,-106.999444445,45.000555555,-107.5000000005,44.4999999995
69,-106.999444445,43.999444444,-107.5000000005,44.4999999995
70,-107.000555556,43.999444444,-106.5000000005,44.4999999995
70,-107.000555556,45.000555555,-106.5000000005,44.4999999995
70,-105.999444445,45.000555555,-106.5000000005,44.4999999995
70,-105.999444445,43.999444444,-106.5000000005,44.4999999995
71,-106.000555556,43.999444444,-105.5000000005,44.4999999995
71,-106.000555556,45.000555555,-105.5000000005,44.4999999995
71,-104.999444445,45.000555555,-105.5000000005,44.4999999995
71,-104.999444445,43.999444444,-105.5000000005,44.4999999995
72,-109.000555556,43.999444444,-108.5000000005,44.4999999995
72,-109.000555556,45.000555555,-108.5000000005,44.4999999995
72,-107.999444445,45.000555555,-108.5000000005,44.4999999995
72,-107.999444445,43.999444444,-108.5000000005,44.4999999995
73,-105.000555556,37.999444444,-104.5000000005,38.4999999995
73,-105.000555556,39.000555555,-104.5000000005,38.4999999995
73,-103.999444445,39.000555555,-104.5000000005,38.4999999995
73,-103.999444445,37.999444444,-104.5000000005,38.4999999995
74,-105.000555556,42.999444444,-104.5000000005,43.4999999995
74,-105.000555556,44.000555555,-104.5000000005,43.4999999995
74,-103.999444445,44.000555555,-104.5000000005,43.4999999995
74,-103.999444445,42.999444444,-104.5000000005,43.4999999995
75,-105.000555555,41.999444445,-104.5,42.5
75,-105.000555555,43.000555555,-104.5,42.5
75,-103.999444445,43.000555555,-104.5,42.5
75,-103.999444445,41.999444445,-104.5,42.5
76,-105.000555555,38.999444445,-104.5,39.5
76,-105.000555555,40.000555555,-104.5,39.5
76,-103.999444445,40.000555555,-104.5,39.5
76,-103.999444445,38.999444445,-104.5,39.5
77,-105.000555555,40.999444445,-104.5,41.5
77,-105.000555555,42.000555555,-104.5,41.5
77,-103.999444445,42.000555555,-104.5,41.5
77,-103.999444445,40.999444445,-104.5,41.5
78,-114.000555555,37.999444444,-113.5,38.4999999995
78,-114.000555555,39.000555555,-113.5,38.4999999995
78,-112.999444445,39.000555555,-113.5,38.4999999995
78,-112.999444445,37.999444444,-113.5,38.4999999995
79,-114.000555555,41.999444445,-113.5,42.5
79,-114.000555555,43.000555555,-113.5,42.5
79,-112.999444445,43.000555555,-113.5,42.5
79,-112.999444445,41.999444445,-113.5,42.5
80,-114.000555556,43.999444444,-113.5000000005,44.4999999995
80,-114.000555556,45.000555555,-113.5000000005,44.4999999995
80,-112.999444445,45.000555555,-113.5000000005,44.4999999995
80,-112.999444445,43.999444444,-113.5000000005,44.4999999995
